Document ID,Document Received Date,Invoice Status,Invoice Type,Invoice Number,Invoice Date,PO Number,Currency,Tax Amount,Invoice Amount,Supplier Name,Bill To
DOC_0000000024,05/23/2025 21:17,Partially Extracted,Non-PO Invoice,33106,05/02/2025,755043523.0,USD,316.8,490.88,johnston-brooks,Brand ubiquitous niches department ortega-johnson
DOC_0000000025,06/26/2025 09:14,Extracted,PO Invoice,31165,05/17/2025,,INR,486.74,4508.87,"moreno, white and briggs",Cultivate turn-key functionalities department baker and sons
DOC_0000000026,06/03/2025 16:48,Partially Extracted,Non-PO Invoice,31282,05/31/2025,755043405.0,INR,463.07,4289.77,williamson llc,Syndicate integrated e-business department mitchell-richardson
DOC_0000000027,07/17/2025 17:09,Failed,Non-PO Invoice,30248,05/12/2025,755043768.0,EUR,303.23,1019.03,thompson ltd,Embrace clicks-and-mortar e-business department wallace-harrington
DOC_0000000028,06/02/2025 04:55,Partially Extracted,PO Invoice,32125,06/23/2025,,EUR,427.48,3513.7,"ray, brown and castillo","Deploy distributed content department todd, hart and perry"
DOC_0000000029,05/24/2025 18:27,Extracted,PO Invoice,39238,05/26/2025,755043310.0,USD,437.79,4696.51,young llc,"Exploit ubiquitous users department miller, garner and barnes"
DOC_0000000030,06/16/2025 20:50,Failed,Non-PO Invoice,34468,07/09/2025,755043906.0,EUR,478.74,381.07,"bell, graves and roberts","Innovate web-enabled e-services department hayes, reed and baker"
DOC_0000000031,07/05/2025 06:26,Extracted,Non-PO Invoice,32522,05/04/2025,,USD,315.4,1870.81,johnson ltd,"Expedite cross-platform experiences department morris, jones and miles"
DOC_0000000032,05/06/2025 18:32,Partially Extracted,PO Invoice,38353,04/19/2025,755043660.0,MYR,339.69,4018.55,hansen-brown,Transform intuitive users department silva-graham
DOC_0000000033,07/07/2025 13:44,Failed,PO Invoice,30566,06/05/2025,,INR,294.03,2425.68,hill and sons,"Syndicate efficient e-markets department diaz, jackson and vaughan"
DOC_0000000034,06/16/2025 15:00,Extracted,PO Invoice,31341,07/08/2025,,MYR,428.77,1079.15,owen-george,Maximize plug-and-play web services department warren-brown
DOC_0000000035,07/09/2025 20:17,Extracted,Non-PO Invoice,30766,07/11/2025,755043379.0,MYR,259.01,621.91,escobar-rodriguez,"Monetize impactful e-services department moreno, morgan and lee"
DOC_0000000036,06/22/2025 09:55,Partially Extracted,Non-PO Invoice,30649,07/10/2025,,MYR,59.24,1757.1,neal ltd,Engage back-end supply-chains department garcia-campbell
DOC_0000000037,07/01/2025 04:02,Partially Extracted,Non-PO Invoice,39934,04/26/2025,755043256.0,USD,356.23,3781.49,fields group,Exploit innovative infrastructures department hernandez llc
DOC_0000000038,06/06/2025 04:48,Partially Extracted,PO Invoice,38046,05/05/2025,755043964.0,USD,154.71,914.29,lee-barron,Re-contextualize open-source systems department todd-hughes
DOC_0000000039,05/10/2025 09:25,Failed,PO Invoice,39544,05/15/2025,,EUR,307.48,3047.53,ewing ltd,Maximize plug-and-play vortals department fields-vargas
DOC_0000000040,04/29/2025 20:34,Partially Extracted,Non-PO Invoice,39780,06/07/2025,755043208.0,EUR,282.51,3154.18,castaneda-wagner,Synergize one-to-one systems department johnson llc
DOC_0000000041,05/23/2025 15:21,Failed,PO Invoice,36687,06/19/2025,,MYR,148.63,3555.83,white-jackson,Disintermediate end-to-end networks department barker llc
DOC_0000000042,07/08/2025 09:37,Failed,PO Invoice,34874,06/01/2025,755043955.0,USD,172.3,349.43,stanton-johnson,Redefine wireless solutions department hebert group
DOC_0000000043,05/18/2025 00:05,Partially Extracted,PO Invoice,34567,07/13/2025,,USD,278.45,3869.41,jackson-dunn,Incentivize collaborative markets department barnes and sons
DOC_0000000044,04/29/2025 10:24,Extracted,PO Invoice,30372,05/13/2025,755043448.0,EUR,134.54,1247.79,johnson inc,Cultivate user-centric info-mediaries department orr-davis
DOC_0000000045,06/12/2025 05:17,Failed,Non-PO Invoice,30402,07/12/2025,,INR,3.73,3220.12,lopez-lyons,Aggregate scalable supply-chains department anderson-adams
DOC_0000000046,05/25/2025 07:00,Extracted,Non-PO Invoice,30760,05/27/2025,755043238.0,EUR,324.31,4479.48,brown plc,"Drive 24/7 deliverables department adams, valentine and monroe"
DOC_0000000047,05/01/2025 19:51,Extracted,PO Invoice,32073,05/08/2025,755043750.0,EUR,378.83,675.75,hill and sons,Utilize synergistic methodologies department horton-berry
DOC_0000000048,05/30/2025 18:10,Partially Extracted,Non-PO Invoice,30476,06/27/2025,,INR,303.34,622.38,"phillips, hernandez and cobb","Re-contextualize efficient deliverables department rios, gardner and wilkerson"
DOC_0000000049,06/24/2025 11:12,Failed,PO Invoice,31428,05/09/2025,,USD,122.28,2590.0,chang-mendoza,"Strategize frictionless technologies department shaffer, bryant and mitchell"
DOC_0000000050,05/07/2025 01:55,Extracted,Non-PO Invoice,37710,07/06/2025,755043972.0,USD,287.75,4528.17,"harmon, dalton and edwards",Engage frictionless methodologies department ayers-henderson
DOC_0000000051,06/17/2025 09:13,Partially Extracted,PO Invoice,33442,06/19/2025,,USD,319.8,3796.95,"hodge, carter and floyd",Implement leading-edge synergies department bartlett ltd
DOC_0000000052,06/11/2025 08:18,Partially Extracted,Non-PO Invoice,38899,06/01/2025,,EUR,38.06,2187.11,"wiley, garcia and potts","Transform frictionless bandwidth department grimes, dalton and hooper"
DOC_0000000053,05/20/2025 08:53,Failed,Non-PO Invoice,32890,06/17/2025,,INR,460.36,4048.84,martin plc,"Evolve frictionless applications department dalton, shaw and carter"
DOC_0000000054,05/23/2025 05:17,Extracted,Non-PO Invoice,36373,05/20/2025,755043180.0,USD,168.54,3382.72,"douglas, martin and stevens","Maximize ubiquitous content department bell, adams and huber"
DOC_0000000055,06/13/2025 10:46,Failed,Non-PO Invoice,33217,06/30/2025,,MYR,462.55,842.76,collier ltd,Target transparent supply-chains department spears-jones
DOC_0000000056,06/09/2025 02:43,Extracted,Non-PO Invoice,36289,04/19/2025,,USD,241.96,1986.51,contreras inc,Matrix frictionless e-business department harris llc
DOC_0000000057,06/07/2025 13:44,Partially Extracted,PO Invoice,37861,06/21/2025,755043413.0,USD,43.69,1820.41,"simmons, rivera and porter",Strategize collaborative roi department davies ltd
DOC_0000000058,05/14/2025 15:35,Failed,PO Invoice,32458,06/12/2025,,USD,484.99,814.87,"malone, thompson and combs",Reinvent front-end eyeballs department walsh-mathis
DOC_0000000059,06/28/2025 09:23,Failed,Non-PO Invoice,39487,06/16/2025,755043720.0,EUR,376.67,1141.92,"zuniga, price and watkins","Expedite robust users department griffin, yates and drake"
DOC_0000000060,06/11/2025 15:53,Extracted,PO Invoice,31126,07/02/2025,,INR,135.51,2614.56,martin-grant,Expedite killer bandwidth department weaver group
DOC_0000000061,05/26/2025 16:43,Failed,PO Invoice,34022,04/19/2025,,MYR,67.37,4122.76,clark plc,"Extend b2c infrastructures department murphy, daniel and brady"
DOC_0000000062,07/02/2025 05:28,Partially Extracted,Non-PO Invoice,38388,06/04/2025,755043509.0,EUR,232.05,1233.94,moon inc,Re-contextualize leading-edge networks department foster-holder
DOC_0000000063,06/18/2025 21:01,Failed,PO Invoice,30463,05/06/2025,755043740.0,INR,269.36,3807.04,"washington, long and smith",Whiteboard out-of-the-box eyeballs department mora plc
DOC_0000000064,05/26/2025 17:41,Partially Extracted,Non-PO Invoice,38290,05/29/2025,,EUR,490.13,4362.17,andrews group,Embrace plug-and-play networks department lindsey-molina
DOC_0000000065,06/14/2025 08:22,Extracted,Non-PO Invoice,32912,06/30/2025,,INR,443.18,3608.24,"winters, munoz and malone","Empower turn-key synergies department oliver, andrews and lester"
DOC_0000000066,07/14/2025 22:18,Failed,Non-PO Invoice,32169,06/14/2025,,USD,266.71,1000.66,fry llc,"Implement killer web services department robinson, mckinney and hicks"
DOC_0000000067,04/30/2025 20:59,Partially Extracted,PO Invoice,31497,06/22/2025,755043943.0,EUR,492.39,1360.01,roth-ellison,Implement visionary infrastructures department maddox-smith
DOC_0000000068,05/18/2025 05:05,Extracted,Non-PO Invoice,39518,04/27/2025,755043292.0,EUR,428.15,631.45,"adkins, nelson and mcdonald",Whiteboard integrated technologies department jordan ltd
DOC_0000000069,06/29/2025 11:07,Extracted,Non-PO Invoice,30537,07/08/2025,,USD,419.52,1757.93,evans group,"Reinvent revolutionary initiatives department nelson, jackson and stevens"
DOC_0000000070,05/15/2025 21:13,Failed,PO Invoice,36122,07/05/2025,755043410.0,MYR,198.21,1058.34,"valdez, durham and harrison",Incubate ubiquitous platforms department mason inc
DOC_0000000071,05/24/2025 18:33,Extracted,Non-PO Invoice,38168,05/20/2025,,INR,464.17,1720.85,bryant group,Leverage intuitive eyeballs department snow-bryant
DOC_0000000072,07/01/2025 23:32,Extracted,PO Invoice,30363,05/31/2025,,MYR,402.08,3359.77,ryan llc,Brand virtual e-markets department knight-roth
DOC_0000000073,04/20/2025 02:23,Extracted,Non-PO Invoice,38168,04/23/2025,755043339.0,EUR,354.98,1153.42,spencer inc,Whiteboard ubiquitous partnerships department french group
DOC_0000000074,05/02/2025 01:32,Partially Extracted,Non-PO Invoice,36958,04/28/2025,,EUR,46.24,858.53,arellano inc,Orchestrate turn-key infrastructures department wagner-mendoza
DOC_0000000075,05/11/2025 09:56,Extracted,PO Invoice,37531,07/09/2025,755043578.0,INR,118.51,3967.71,snyder llc,"Optimize frictionless infrastructures department perry, meyer and campos"
DOC_0000000076,06/30/2025 00:26,Partially Extracted,Non-PO Invoice,36348,05/18/2025,755043610.0,INR,481.56,2946.76,stevens inc,Matrix compelling methodologies department hunt plc
DOC_0000000077,06/03/2025 13:05,Extracted,PO Invoice,30870,05/28/2025,755043475.0,EUR,401.86,517.75,finley group,"Iterate scalable eyeballs department freeman, baker and brown"
DOC_0000000078,05/14/2025 09:33,Failed,PO Invoice,34970,06/01/2025,755043086.0,USD,61.98,552.32,"morton, mccoy and johnson","Incubate interactive infrastructures department carter, jones and thompson"
DOC_0000000079,04/19/2025 04:48,Extracted,Non-PO Invoice,36546,07/03/2025,,INR,362.24,3232.92,davis plc,Brand enterprise niches department moran-villanueva
DOC_0000000080,07/13/2025 13:19,Partially Extracted,PO Invoice,39218,06/08/2025,,EUR,488.35,1812.96,randall-harris,Strategize customized supply-chains department collins plc
DOC_0000000081,07/04/2025 18:52,Extracted,Non-PO Invoice,33134,07/15/2025,755043900.0,USD,326.17,4976.36,young and sons,Syndicate open-source platforms department nichols ltd
DOC_0000000082,05/29/2025 17:01,Extracted,Non-PO Invoice,35923,06/01/2025,755043896.0,MYR,357.46,2411.58,cummings inc,Re-intermediate efficient eyeballs department brown inc
DOC_0000000083,05/03/2025 04:26,Failed,Non-PO Invoice,30286,04/19/2025,755043343.0,INR,346.94,3732.25,chavez-castaneda,Facilitate dot-com functionalities department allen-lewis
DOC_0000000084,07/03/2025 17:35,Partially Extracted,PO Invoice,38280,06/17/2025,,MYR,246.49,825.34,jones plc,Harness next-generation supply-chains department moore-hoover
DOC_0000000085,06/06/2025 11:45,Failed,PO Invoice,35478,06/28/2025,755043985.0,USD,4.52,421.22,"clark, baxter and rice",Matrix world-class functionalities department reed-jackson
DOC_0000000086,07/14/2025 09:55,Partially Extracted,Non-PO Invoice,32067,07/07/2025,,MYR,369.66,3635.86,bird-wallace,"Reinvent frictionless infrastructures department hardy, blair and knight"
DOC_0000000087,06/06/2025 06:48,Failed,PO Invoice,34786,04/19/2025,755043197.0,USD,361.77,1529.38,"jefferson, williams and daniels","Deploy real-time functionalities department vincent, wilson and morgan"
DOC_0000000088,06/30/2025 19:18,Extracted,Non-PO Invoice,33571,06/07/2025,755043776.0,USD,251.68,219.04,"escobar, buckley and velasquez",Unleash real-time communities department brown llc
DOC_0000000089,06/01/2025 04:43,Failed,PO Invoice,37698,07/15/2025,,USD,456.8,3565.15,"young, williams and clarke","Extend robust eyeballs department weaver, coffey and sims"
DOC_0000000090,05/30/2025 17:57,Partially Extracted,Non-PO Invoice,35901,07/01/2025,,EUR,119.2,3412.79,novak-hobbs,Aggregate holistic supply-chains department gonzalez-smith
DOC_0000000091,07/09/2025 15:53,Partially Extracted,Non-PO Invoice,34477,07/03/2025,,MYR,273.7,3039.14,"owens, hines and yates",Envisioneer integrated relationships department caldwell ltd
DOC_0000000092,05/21/2025 15:33,Extracted,Non-PO Invoice,32463,07/16/2025,,EUR,445.48,1432.38,"gibson, olson and holder","Aggregate frictionless e-services department ross, williams and miranda"
DOC_0000000093,04/28/2025 19:41,Failed,PO Invoice,34073,04/28/2025,,EUR,142.35,1452.34,"white, rogers and jacobs",Repurpose web-enabled web services department hale inc
DOC_0000000094,05/28/2025 08:51,Failed,Non-PO Invoice,34812,07/01/2025,,MYR,342.45,3104.8,young group,Drive frictionless content department baker and sons
DOC_0000000095,07/10/2025 08:57,Failed,Non-PO Invoice,30482,05/22/2025,755043033.0,INR,236.23,4476.38,"lopez, bullock and anderson",Enable b2b methodologies department west plc
DOC_0000000096,06/24/2025 10:19,Partially Extracted,Non-PO Invoice,38406,06/07/2025,,MYR,53.02,1501.01,"day, smith and ramos",Matrix viral schemas department wilson-nichols
DOC_0000000097,06/05/2025 11:06,Partially Extracted,Non-PO Invoice,37891,06/16/2025,755043596.0,EUR,327.19,4962.64,"kelly, collins and wilson",Architect sticky communities department logan group
DOC_0000000098,05/27/2025 06:33,Partially Extracted,PO Invoice,38986,05/03/2025,755043024.0,USD,447.39,695.13,"wilson, schneider and lynn",Embrace vertical channels department cobb-mcguire
DOC_0000000099,06/25/2025 13:27,Partially Extracted,Non-PO Invoice,34184,06/23/2025,755043674.0,EUR,334.47,1758.5,"gray, charles and griffin","Optimize compelling architectures department bond, sellers and hughes"
DOC_0000000100,07/04/2025 18:29,Extracted,Non-PO Invoice,32277,06/02/2025,,EUR,62.67,2024.01,myers and sons,Iterate integrated technologies department stokes-peterson
DOC_0000000101,05/06/2025 06:54,Failed,PO Invoice,31504,06/01/2025,,INR,207.95,3771.01,gay-haney,"Empower cross-media e-commerce department white, oliver and chaney"
DOC_0000000102,07/07/2025 23:15,Extracted,PO Invoice,31930,05/23/2025,755043862.0,EUR,477.98,1936.2,"austin, ramirez and wilson",Redefine magnetic platforms department robertson ltd
DOC_0000000103,06/04/2025 18:16,Extracted,PO Invoice,33434,05/29/2025,,INR,343.85,1846.11,hoffman-johnson,"Extend scalable web-readiness department lopez, love and roberts"
DOC_0000000104,06/16/2025 14:31,Extracted,PO Invoice,37349,06/27/2025,755043822.0,MYR,359.63,2080.43,"lindsey, moreno and bailey",Extend intuitive convergence department hooper-wade
DOC_0000000105,05/15/2025 17:55,Failed,PO Invoice,32517,06/01/2025,,USD,15.66,1526.65,ritter inc,Iterate compelling info-mediaries department marshall-hughes
DOC_0000000106,05/11/2025 05:37,Failed,Non-PO Invoice,39024,05/16/2025,755043925.0,USD,23.76,3105.42,padilla plc,Extend leading-edge mindshare department bell-walker
DOC_0000000107,07/06/2025 07:11,Partially Extracted,PO Invoice,37960,06/08/2025,,USD,475.76,3969.29,"perkins, stone and hester",Brand viral technologies department sandoval inc
DOC_0000000108,05/06/2025 16:46,Failed,PO Invoice,38068,07/16/2025,755043606.0,INR,90.51,4575.5,myers llc,"Evolve one-to-one roi department carroll, reynolds and stein"
DOC_0000000109,06/13/2025 01:30,Extracted,Non-PO Invoice,33057,06/05/2025,755043555.0,MYR,403.88,3510.32,"mann, blankenship and hayes","Monetize front-end systems department myers, bolton and cameron"
DOC_0000000110,05/02/2025 19:55,Partially Extracted,Non-PO Invoice,31382,05/13/2025,,USD,486.6,3237.95,walker and sons,"Aggregate ubiquitous synergies department martin, braun and morrison"
DOC_0000000111,07/06/2025 06:55,Extracted,PO Invoice,37341,06/04/2025,755043629.0,USD,491.15,2790.88,"davis, lopez and evans",Unleash b2b technologies department warren-walsh
DOC_0000000112,05/02/2025 21:08,Failed,PO Invoice,38457,05/09/2025,755043553.0,EUR,379.82,1204.75,allison inc,"Cultivate collaborative e-services department booth, wilson and george"
DOC_0000000113,07/17/2025 07:11,Extracted,Non-PO Invoice,31145,06/18/2025,755043821.0,MYR,145.48,4212.53,cross group,Engineer cross-media functionalities department dean inc
DOC_0000000114,07/11/2025 18:09,Extracted,Non-PO Invoice,33174,06/11/2025,,EUR,498.15,4290.41,"whitney, taylor and rice","Innovate holistic info-mediaries department nguyen, jacobs and riddle"
DOC_0000000115,05/28/2025 01:34,Extracted,PO Invoice,34653,05/04/2025,755043141.0,EUR,229.74,2609.36,gutierrez-nicholson,Streamline interactive e-markets department robertson inc
DOC_0000000116,07/02/2025 16:49,Partially Extracted,Non-PO Invoice,37202,04/22/2025,755043124.0,MYR,419.56,2669.28,"roberts, scott and wise","Grow open-source e-services department smith, johnson and wilson"
DOC_0000000117,04/19/2025 19:40,Partially Extracted,Non-PO Invoice,35775,04/19/2025,,EUR,250.14,3449.38,hunter llc,Engage granular channels department cordova ltd
DOC_0000000118,06/04/2025 01:20,Partially Extracted,PO Invoice,38971,05/29/2025,755043534.0,EUR,361.77,3185.0,"terrell, frank and smith",Repurpose b2b vortals department osborne group
DOC_0000000119,07/17/2025 01:06,Failed,PO Invoice,31308,06/10/2025,755043627.0,INR,49.32,4542.39,"smith, kelly and flores","Whiteboard revolutionary systems department grimes, wilkins and rodgers"
DOC_0000000120,05/13/2025 16:28,Extracted,Non-PO Invoice,38833,05/10/2025,,MYR,457.51,718.02,mueller group,Revolutionize cutting-edge technologies department long llc
DOC_0000000121,06/23/2025 19:51,Failed,Non-PO Invoice,34183,06/07/2025,,USD,480.93,4058.44,schultz-salinas,Morph user-centric schemas department keller-rivas
DOC_0000000122,05/12/2025 06:59,Extracted,Non-PO Invoice,33060,05/24/2025,755043503.0,MYR,371.21,3393.33,mcknight-baker,"Grow seamless solutions department daniels, mitchell and pugh"
DOC_0000000123,07/13/2025 16:40,Partially Extracted,Non-PO Invoice,37997,05/13/2025,755043362.0,INR,179.4,4672.11,lamb inc,"Extend vertical e-commerce department thomas, anderson and hamilton"
DOC_0000000124,06/16/2025 02:15,Failed,PO Invoice,33125,05/14/2025,,MYR,251.06,1509.29,"shields, russo and lawson","Maximize cross-platform methodologies department hudson, barnes and james"
DOC_0000000125,06/09/2025 19:19,Failed,PO Invoice,38337,06/16/2025,,MYR,30.85,325.63,"morgan, bradley and garcia",Scale viral portals department sharp ltd
DOC_0000000126,05/18/2025 23:20,Partially Extracted,Non-PO Invoice,31801,06/11/2025,,USD,231.23,2259.95,gomez group,"Engage plug-and-play supply-chains department lopez, walker and cabrera"
DOC_0000000127,05/26/2025 07:32,Extracted,PO Invoice,39865,06/29/2025,755043372.0,INR,268.6,897.22,soto-lewis,Reinvent one-to-one systems department evans-jones
DOC_0000000128,05/08/2025 12:28,Failed,PO Invoice,35783,06/19/2025,,INR,259.97,4672.41,howard group,"Incentivize vertical e-markets department martinez, bauer and adams"
DOC_0000000129,06/20/2025 05:18,Failed,PO Invoice,37172,04/18/2025,755043714.0,INR,122.86,1454.24,martin ltd,Synthesize 24/7 supply-chains department wise-austin
DOC_0000000130,05/05/2025 02:57,Extracted,PO Invoice,37959,06/07/2025,,USD,161.35,4390.22,fowler llc,Revolutionize one-to-one interfaces department blankenship-yang
DOC_0000000131,06/08/2025 04:54,Partially Extracted,Non-PO Invoice,31713,06/26/2025,,INR,459.23,465.52,"robinson, lee and brown","Incentivize frictionless applications department stewart, roberts and spencer"
DOC_0000000132,05/31/2025 02:07,Failed,Non-PO Invoice,36807,06/07/2025,755043560.0,EUR,241.19,3901.42,"nelson, schneider and roberts",Optimize intuitive markets department owens-trevino
DOC_0000000133,05/02/2025 15:26,Partially Extracted,PO Invoice,38571,06/22/2025,755043186.0,EUR,276.78,393.89,"patterson, young and marshall",Monetize killer paradigms department key inc
DOC_0000000134,05/11/2025 15:31,Extracted,Non-PO Invoice,38679,05/02/2025,755043907.0,MYR,273.36,829.02,levy-mccarthy,Whiteboard cutting-edge e-markets department morris group
DOC_0000000135,06/06/2025 12:14,Failed,PO Invoice,30603,06/17/2025,,USD,98.71,2305.74,rocha inc,"Maximize one-to-one initiatives department gentry, snyder and banks"
DOC_0000000136,05/12/2025 19:49,Extracted,Non-PO Invoice,38764,05/26/2025,,USD,52.76,4718.86,hahn-howard,"Syndicate bleeding-edge e-business department roth, johnson and nolan"
DOC_0000000137,05/09/2025 09:52,Partially Extracted,Non-PO Invoice,31418,04/20/2025,,EUR,347.76,2996.71,gomez plc,"Scale dynamic mindshare department beasley, blake and robles"
DOC_0000000138,05/21/2025 18:26,Failed,PO Invoice,36337,05/17/2025,755043904.0,EUR,126.18,3567.47,"hicks, taylor and goodwin",E-enable best-of-breed solutions department klein llc
DOC_0000000139,07/16/2025 15:35,Failed,Non-PO Invoice,38038,05/13/2025,755043312.0,EUR,384.97,3602.55,johnson-garcia,Transform bleeding-edge initiatives department ball and sons
DOC_0000000140,05/31/2025 09:02,Failed,Non-PO Invoice,30963,07/01/2025,755043723.0,MYR,423.96,1254.26,harris-sloan,Deploy dynamic communities department davis-cox
DOC_0000000141,06/17/2025 22:23,Extracted,PO Invoice,38475,04/21/2025,,EUR,15.54,2845.12,collins llc,"Integrate innovative infrastructures department salazar, bernard and rogers"
DOC_0000000142,04/21/2025 13:08,Extracted,Non-PO Invoice,37083,06/24/2025,,MYR,109.9,2679.64,walton-morales,"Grow revolutionary e-business department thompson, chandler and ellis"
DOC_0000000143,04/29/2025 10:09,Extracted,Non-PO Invoice,34590,05/22/2025,755043411.0,INR,228.44,3015.69,bowers plc,Synthesize bricks-and-clicks users department walker-mills
DOC_0000000144,04/29/2025 19:34,Failed,PO Invoice,38222,07/11/2025,,EUR,6.62,548.2,evans inc,Exploit vertical supply-chains department cisneros and sons
DOC_0000000145,04/22/2025 16:20,Failed,Non-PO Invoice,31202,06/30/2025,,USD,64.14,1290.64,stanley-mccoy,"Synergize holistic experiences department good, manning and carlson"
DOC_0000000146,06/02/2025 08:41,Failed,PO Invoice,30029,06/21/2025,755043595.0,INR,302.69,3662.58,graham-gonzalez,Evolve front-end info-mediaries department garcia-webster
DOC_0000000147,06/16/2025 10:13,Partially Extracted,PO Invoice,38358,05/24/2025,755043053.0,MYR,490.76,391.87,"carter, thompson and wells",Streamline leading-edge info-mediaries department martinez-mullins
DOC_0000000148,07/03/2025 04:28,Partially Extracted,PO Invoice,33416,07/15/2025,,EUR,466.16,2634.31,jackson llc,Drive efficient partnerships department price-patterson
DOC_0000000149,06/11/2025 21:07,Failed,PO Invoice,35074,04/19/2025,,INR,281.7,4449.57,taylor-brock,"Scale dot-com synergies department silva, thompson and harris"
DOC_0000000150,07/09/2025 19:21,Partially Extracted,Non-PO Invoice,34479,06/04/2025,755043635.0,USD,417.33,3326.68,brown and sons,Transform customized functionalities department baldwin-fuller
DOC_0000000151,04/27/2025 15:52,Extracted,Non-PO Invoice,37386,06/04/2025,755043826.0,MYR,267.42,714.67,"morales, meyer and phillips","Productize integrated schemas department herring, hale and ward"
DOC_0000000152,06/24/2025 20:47,Extracted,PO Invoice,31502,05/12/2025,,EUR,167.85,4169.26,craig-green,Morph killer methodologies department mckay-dunlap
DOC_0000000153,05/13/2025 20:58,Extracted,Non-PO Invoice,39660,07/08/2025,,INR,6.16,3183.53,smith plc,E-enable cross-platform initiatives department larson-fritz
DOC_0000000154,04/24/2025 21:27,Failed,Non-PO Invoice,33136,05/16/2025,,USD,90.0,879.1,hernandez-campbell,Reinvent holistic models department rodriguez inc
